edge_id,from_type,from_id,to_type,to_id,status,distance_km,travel_time_minutes,transport_cost_inr_per_unit,capacity_units_per_day,congestion_factor
E001,SUPPLIER,S01,NODE,N01,ACTIVE,30,75,3.5,600,1
E002,SUPPLIER,S01,NODE,N02,INACTIVE,40,95,4.5,600,1
E003,NODE,N01,NODE,N02,INACTIVE,18,55,3,320,1
E004,NODE,N02,NODE,N01,INACTIVE,18,55,3,320,1
E005,NODE,N01,CUSTOMER_REGION,R01,ACTIVE,12,45,9,320,1
E006,NODE,N02,CUSTOMER_REGION,R01,INACTIVE,20,65,12,320,1
E007,NODE,N01,CUSTOMER_REGION,R02,ACTIVE,28,100,16,320,1
E008,NODE,N02,CUSTOMER_REGION,R02,INACTIVE,10,35,8,320,1
E009,SUPPLIER,S02,NODE,N03,ACTIVE,30,75,3.5,600,1
E010,SUPPLIER,S02,NODE,N04,INACTIVE,40,95,4.5,600,1
E011,NODE,N03,NODE,N04,INACTIVE,18,55,3,320,1
E012,NODE,N04,NODE,N03,INACTIVE,18,55,3,320,1
E013,NODE,N03,CUSTOMER_REGION,R03,ACTIVE,12,45,9,320,1
E014,NODE,N04,CUSTOMER_REGION,R03,INACTIVE,20,65,12,320,1
E015,NODE,N03,CUSTOMER_REGION,R04,ACTIVE,28,100,16,320,1
E016,NODE,N04,CUSTOMER_REGION,R04,INACTIVE,10,35,8,320,1
E017,SUPPLIER,S03,NODE,N05,ACTIVE,30,75,3.5,600,1
E018,SUPPLIER,S03,NODE,N06,INACTIVE,40,95,4.5,600,1
E019,NODE,N05,NODE,N06,INACTIVE,18,55,3,320,1
E020,NODE,N06,NODE,N05,INACTIVE,18,55,3,320,1
E021,NODE,N05,CUSTOMER_REGION,R05,ACTIVE,12,45,9,320,1
E022,NODE,N06,CUSTOMER_REGION,R05,INACTIVE,20,65,12,320,1
E023,NODE,N05,CUSTOMER_REGION,R06,ACTIVE,28,100,16,320,1
E024,NODE,N06,CUSTOMER_REGION,R06,INACTIVE,10,35,8,320,1
